,,,,,Quantity, Delta ,Price,Price Change,Price Change (%),Period PnL,Traded Delta,Traded PnL,YTD PnL,Period Delta Change,Mkt Value,%Delta,$Gamma,$Vega,$Theta,ImpliedVol,,,,,,,
CryptoHedges,Equities,BTC,MSTRspread,,2590.099111,175420685,67727.40266,-400.1461421,-0.587348509,-1036418.167,0,0,84120299.99,-1036418.167,175420685.5,0,0,0,0,0,,,,,,,
CryptoHedges,Equities,BTC,MSTRspread,BTC,2590.099111,175420685,67727.40266,-400.1461421,-0.587348509,-1036418.167,0,0,84120299.99,-1036418.167,175420685.5,0,0,0,0,0,,,,,,,
CryptoHedges,Equities,MSTR,,,,-137297963,,,,172.803864,0,0,-143712582.8,172.803864,-157963284,,0.010242474,-25646.5948,-3.803374453,,,,,,,,
CryptoHedges,Equities,MSTR,E_MSTR_EQUITY ,,-89000,-160144984,1799.381848,-0.001215034,-6.75E-05,108.1379945,0,0,-145799354.1,108.1379945,-160144984.5,0,0,0,0,0,,,,,,,
CryptoHedges,Equities,MSTR,E_MSTR_EQUITY ,MSTR,-89000,-160144984,1799.381848,-0.001215034,-6.75E-05,108.1379945,0,0,-145799354.1,108.1379945,-160144984.5,0,0,0,0,0,,,,,,,
CryptoHedges,Equities,MSTR,E_MSTR_OPTIONS ,,-465,22847022,88.27372487,-8735.717779,-98.99965156,64.66586955,0,0,2086771.242,64.66586955,2181700.51,23.69501974,0.010242474,-25646.5948,-3.803374453,1.112552713,,,,,,,
CryptoHedges,Equities,MSTR,E_MSTR_OPTIONS ,MSTR/02Aug2024/C1700.0,600,71635920,181.05,-17916.83982,-98.99960713,-7.332361486,0,0,3158974.561,-7.332361486,10863000,66.32623944,0.027284841,65235.00879,-28.48025058,1.065941329,,,,,,,
CryptoHedges,Equities,MSTR,E_MSTR_OPTIONS ,MSTR/02Aug2024/C1800.0,-600,-58303449,131.97,-13059.84729,-98.99960713,5.344665831,0,0,-2570890.028,5.344665831,-7918200,53.98197569,-0.013642421,-70936.15436,20.75967229,1.100321945,,,,,,,
CryptoHedges,Equities,MSTR,E_MSTR_OPTIONS ,MSTR/02Aug2024/P1555.0,-165,5220518,32.52944397,-3219.409267,-98.99969074,45.21038893,0,0,673557.3231,45.21038893,-536735.8256,-17.57662156,0.000703437,-12706.25367,2.744230223,1.058974363,,,,,,,
CryptoHedges,Equities,MSTR,E_MSTR_OPTIONS ,MSTR/26Jul2024/P1550.0,-300,4294033,7.545455488,-746.7747369,-98.99970125,21.44317628,0,0,825129.3854,21.44317628,-226363.6647,-7.951514626,-0.004103384,-7239.19556,1.172973608,1.224973214,,,,,,,
Eduardo,,,,,,502270,,,,-4529.721252,0,0,318634.5711,-4529.721252,502269.6689,,0,0,0,,,,,,,,
Eduardo,Crypto,,,,,502270,,,,-4529.721252,0,0,318634.5711,-4529.721252,502269.6689,,0,0,0,,,,,,,,
Eduardo,Crypto,BTC,,,2.289098,155035,67727.40266,-400.1461421,-0.587348509,-915.9737336,0,0,289815.5535,-915.9737336,155034.662,0,0,0,0,0,,,,,,,
Eduardo,Crypto,BTC,Core,,2.289098,155035,67727.40266,-400.1461421,-0.587348509,-915.9737336,0,0,289815.5535,-915.9737336,155034.662,0,0,0,0,0,,,,,,,
Eduardo,Crypto,BTC,Core,BTC,2.289098,155035,67727.40266,-400.1461421,-0.587348509,-915.9737336,0,0,289815.5535,-915.9737336,155034.662,0,0,0,0,0,,,,,,,
Eduardo,Crypto,ETH,,,100.5746,347235,3452.511936,-35.93101557,-1.030001524,-3613.747519,0,0,28819.01754,-3613.747519,347235.0069,0,0,0,0,0,,,,,,,
Eduardo,Crypto,ETH,Core,,100.5746,347235,3452.511936,-35.93101557,-1.030001524,-3613.747519,0,0,28819.01754,-3613.747519,347235.0069,0,0,0,0,0,,,,,,,
Eduardo,Crypto,ETH,Core,ETH,100.5746,347235,3452.511936,-35.93101557,-1.030001524,-3613.747519,0,0,28819.01754,-3613.747519,347235.0069,0,0,0,0,0,,,,,,,
Felman,,,,,,3917288,,,,52854.31779,0,0,1423194.045,52854.31779,4187850.043,,0.661011246,-956.7149562,0.233563981,,,,,,,,
Felman,Crypto,,,,,3917288,,,,52854.31779,0,0,1423194.045,52854.31779,4187850.043,,0.661011246,-956.7149562,0.233563981,,,,,,,,
Felman,Crypto,ALT,,,-3357132,-495607,0.147628,-0.002919,-1.938929371,9799.468308,0,0,179862.1322,9799.468308,-495606.6829,0,0,0,0,0,,,,,,,
Felman,Crypto,ALT,Core,,-3357132,-495607,0.147628,-0.002919,-1.938929371,9799.468308,0,0,179862.1322,9799.468308,-495606.6829,0,0,0,0,0,,,,,,,
Felman,Crypto,ALT,Core,ALT,-3357132,-495607,0.147628,-0.002919,-1.938929371,9799.468308,0,0,179862.1322,9799.468308,-495606.6829,0,0,0,0,0,,,,,,,
Felman,Crypto,ARKM,,,-483787,-735356,1.52,-0.03,-1.935483871,14513.61,0,0,-3567.286356,14513.61,-735356.24,0,0,0,0,0,,,,,,,
Felman,Crypto,ARKM,Core,,-483787,-735356,1.52,-0.03,-1.935483871,14513.61,0,0,-3567.286356,14513.61,-735356.24,0,0,0,0,0,,,,,,,
Felman,Crypto,ARKM,Core,ARKM,-483787,-735356,1.52,-0.03,-1.935483871,14513.61,0,0,-3567.286356,14513.61,-735356.24,0,0,0,0,0,,,,,,,
Felman,Crypto,ASTR,,,19730087.23,1524070,0.077246,-0.000444,-0.571502124,-8760.15873,0,0,23620.40004,-8760.15873,1524070.318,0,0,0,0,0,,,,,,,
Felman,Crypto,ASTR,Core,,19730087.23,1524070,0.077246,-0.000444,-0.571502124,-8760.15873,0,0,23620.40004,-8760.15873,1524070.318,0,0,0,0,0,,,,,,,
Felman,Crypto,ASTR,Core,ASTR,19730087.23,1524070,0.077246,-0.000444,-0.571502124,-8760.15873,0,0,23620.40004,-8760.15873,1524070.318,0,0,0,0,0,,,,,,,
Felman,Crypto,BTC,,,,3086148,,,,1.379256077,0,0,725216.4199,1.379256077,3356709.753,,0.661011246,-956.7149562,0.233563981,,,,,,,,
Felman,Crypto,BTC,E_CRYPTO_EQUITY ,,,3086148,,,,1.379256077,0,0,725216.4199,1.379256077,3356709.753,,0.661011246,-956.7149562,0.233563981,,,,,,,,
Felman,Crypto,BTC,E_CRYPTO_EQUITY ,FIP,200000,1977222,9.886109293,-6.68E-06,-6.75E-05,-1.335120217,0,0,99231.88202,-1.335120217,1977221.859,0,0,0,0,0,,,,,,,
Felman,Crypto,BTC,E_CRYPTO_EQUITY ,WULF,252500,1443732,5.717749763,-3.86E-06,-6.75E-05,-0.974880753,0,0,618203.1852,-0.974880753,1443731.815,0,0,0,0,0,,,,,,,
Felman,Crypto,BTC,E_CRYPTO_EQUITY ,WULF/16Aug2024/C7.0,-1800,-334806,0.356910669,-35.32216521,-98.99966392,3.689257047,0,0,7781.352678,3.689257047,-64243.92049,32.51807709,0.661011246,-956.7149562,0.233563981,1.327844962,,,,,,,
Felman,Crypto,ETHFI,,,-219398.9,-548497,2.5,-0.06,-2.34375,13163.934,0,0,-48705.08137,13163.934,-548497.25,0,0,0,0,0,,,,,,,
Felman,Crypto,ETHFI,Core,,-219398.9,-548497,2.5,-0.06,-2.34375,13163.934,0,0,-48705.08137,13163.934,-548497.25,0,0,0,0,0,,,,,,,
Felman,Crypto,ETHFI,Core,ETHFI,-219398.9,-548497,2.5,-0.06,-2.34375,13163.934,0,0,-48705.08137,13163.934,-548497.25,0,0,0,0,0,,,,,,,
Felman,Crypto,ILV,,,6578.286,473702,72.01,-0.62,-0.853641746,-4078.53732,0,0,-26247.36114,-4078.53732,473702.3749,0,0,0,0,0,,,,,,,
Felman,Crypto,ILV,Core,,6578.286,473702,72.01,-0.62,-0.853641746,-4078.53732,0,0,-26247.36114,-4078.53732,473702.3749,0,0,0,0,0,,,,,,,
Felman,Crypto,ILV,Core,ILV,6578.286,473702,72.01,-0.62,-0.853641746,-4078.53732,0,0,-26247.36114,-4078.53732,473702.3749,0,0,0,0,0,,,,,,,
Felman,Crypto,JTO,,,420627.944,1118870,2.66,-0.04,-1.481481481,-16825.11776,0,0,118559.7907,-16825.11776,1118870.331,0,0,0,0,0,,,,,,,
Felman,Crypto,JTO,Core,,420627.944,1118870,2.66,-0.04,-1.481481481,-16825.11776,0,0,118559.7907,-16825.11776,1118870.331,0,0,0,0,0,,,,,,,
Felman,Crypto,JTO,Core,JTO,420627.944,1118870,2.66,-0.04,-1.481481481,-16825.11776,0,0,118559.7907,-16825.11776,1118870.331,0,0,0,0,0,,,,,,,
Felman,Crypto,STRK,,,-1172304.8,-686697,0.585767,-0.009861,-1.65556354,11560.09763,0,0,206865.3224,11560.09763,-686697.4658,0,0,0,0,0,,,,,,,
Felman,Crypto,STRK,Core,,-1172304.8,-686697,0.585767,-0.009861,-1.65556354,11560.09763,0,0,206865.3224,11560.09763,-686697.4658,0,0,0,0,0,,,,,,,
Felman,Crypto,STRK,Core,STRK,-1172304.8,-686697,0.585767,-0.009861,-1.65556354,11560.09763,0,0,206865.3224,11560.09763,-686697.4658,0,0,0,0,0,,,,,,,
Felman,Crypto,TON,,,378044.0286,2634967,6.97,-0.05,-0.712250712,-18902.20143,0,0,-53355.92334,-18902.20143,2634966.879,0,0,0,0,0,,,,,,,
Felman,Crypto,TON,Core,,378044.0286,2634967,6.97,-0.05,-0.712250712,-18902.20143,0,0,-53355.92334,-18902.20143,2634966.879,0,0,0,0,0,,,,,,,
Felman,Crypto,TON,Core,TON,378044.0286,2634967,6.97,-0.05,-0.712250712,-18902.20143,0,0,-53355.92334,-18902.20143,2634966.879,0,0,0,0,0,,,,,,,
Felman,Crypto,WLD,,,-875218,-2030506,2.32,-0.05,-2.109704641,43760.9,0,0,244305.2551,43760.9,-2030505.76,0,0,0,0,0,,,,,,,
Felman,Crypto,WLD,Core,,-875218,-2030506,2.32,-0.05,-2.109704641,43760.9,0,0,244305.2551,43760.9,-2030505.76,0,0,0,0,0,,,,,,,
Felman,Crypto,WLD,Core,WLD,-875218,-2030506,2.32,-0.05,-2.109704641,43760.9,0,0,244305.2551,43760.9,-2030505.76,0,0,0,0,0,,,,,,,
Felman,Crypto,XAI,,,-1184521,-423806,0.357787,-0.007278,-1.993617575,8620.943838,0,0,56640.37724,8620.943838,-423806.215,0,0,0,0,0,,,,,,,
Felman,Crypto,XAI,Core,,-1184521,-423806,0.357787,-0.007278,-1.993617575,8620.943838,0,0,56640.37724,8620.943838,-423806.215,0,0,0,0,0,,,,,,,
Felman,Crypto,XAI,Core,XAI,-1184521,-423806,0.357787,-0.007278,-1.993617575,8620.943838,0,0,56640.37724,8620.943838,-423806.215,0,0,0,0,0,,,,,,,
Lending,,,,,,294760335,,,,-199.0370888,0,0,40229634.39,-199.0370888,294760335.2,,0,0,0,,,,,,,,
Lending,Crypto,,,,,294760335,,,,-199.0370888,0,0,40229634.39,-199.0370888,294760335.2,,0,0,0,,,,,,,,
Lending,Crypto,BTC,,,,294760335,,,,-199.0370888,0,0,40229634.39,-199.0370888,294760335.2,,0,0,0,,,,,,,,
Lending,Crypto,BTC,E_CRYPTO_EQUITY ,,,294760335,,,,-199.0370888,0,0,40229634.39,-199.0370888,294760335.2,,0,0,0,,,,,,,,
Lending,Crypto,BTC,E_CRYPTO_EQUITY ,ARKB,1275000,87060987,68.28312698,-4.61E-05,-6.75E-05,-58.78798234,0,0,15597530.4,-58.78798234,87060986.9,0,0,0,0,0,,,,,,,
Lending,Crypto,BTC,E_CRYPTO_EQUITY ,IBIT,5337300,207699348,38.91468501,-2.63E-05,-6.75E-05,-140.2491065,0,0,24632104,-140.2491065,207699348.3,0,0,0,0,0,,,,,,,
Novo,,,,,,1010577898,,,,-5561935.117,0,0,364678345.7,-2020207.015,974265510.4,,3541728.102,54289.79791,-246168.5985,,,,,,,,
Novo,Crypto,,,,,1010577898,,,,-5561935.117,0,0,364678345.7,-2020207.015,974265510.4,,3541728.102,54289.79791,-246168.5985,,,,,,,,
Novo,Crypto,BGCI,,,11392,31432319,2759.157209,33.58720863,1.232300349,382625.4807,0,0,18577287.65,382625.4807,31432318.92,0,0,0,0,0,,,,,,,
Novo,Crypto,BGCI,AssetMgmt,,11392,31432319,2759.157209,33.58720863,1.232300349,382625.4807,0,0,18577287.65,382625.4807,31432318.92,0,0,0,0,0,,,,,,,
Novo,Crypto,BGCI,AssetMgmt,BGCI,11392,31432319,2759.157209,33.58720863,1.232300349,382625.4807,0,0,18577287.65,382625.4807,31432318.92,0,0,0,0,0,,,,,,,
Novo,Crypto,BTC,,,,665944227,,,,-2660656.463,0,0,146946804.8,881071.6391,629631839.7,,3541728.102,54289.79791,-246168.5985,,,,,,,,
Novo,Crypto,BTC,Core,,,412907716,,,,-2439535.894,0,0,128269201.5,-2439535.894,412907716.5,,0,0,0,,,,,,,,
Novo,Crypto,BTC,Core,BTC,4681.737305,317081908,67727.40266,-400.1461421,-0.587348509,-1873379.121,0,0,92585130.39,-1873379.121,317081907.6,0,0,0,0,0,,,,,,,
Novo,Crypto,BTC,Core,BTC_MT_GOX,11319,95825809,8465.925333,-50.01826776,-0.587348509,-566156.7728,0,0,35684071.09,-566156.7728,95825808.84,0,0,0,0,0,,,,,,,
Novo,Crypto,BTC,ETF ,,,213136370,,,,-143.9204584,0,0,18179733.58,-143.9204584,213136369.8,,0,0,0,,,,,,,,
Novo,Crypto,BTC,ETF ,ARKB,1575000,107545925,68.28312698,-4.61E-05,-6.75E-05,-72.62044876,0,0,6919153.49,-72.62044876,107545925,0,0,0,0,0,,,,,,,
Novo,Crypto,BTC,ETF ,BTCO,725000,49490773,68.26313485,-4.61E-05,-6.75E-05,-33.41867326,0,0,7620423.763,-33.41867326,49490772.76,0,0,0,0,0,,,,,,,
Novo,Crypto,BTC,ETF ,GBTC,452797,27410599,60.53617581,-4.09E-05,-6.75E-05,-18.50902288,0,0,3032007.179,-18.50902288,27410598.8,0,0,0,0,0,,,,,,,
Novo,Crypto,BTC,ETF ,IBIT,737230,28689073,38.91468501,-2.63E-05,-6.75E-05,-19.37231349,0,0,608149.1506,-19.37231349,28689073.23,0,0,0,0,0,,,,,,,
Novo,Crypto,BTC,Options ,,,39900141,,,,-220976.6483,0,0,497869.7713,3320751.453,3587753.459,,3541728.102,54289.79791,-246168.5985,,,,,,,,
Novo,Crypto,BTC,Options ,BTCUSD-2024AUG02-C-70000=GALAXY_HK,1050,31144985,2544.590277,-159.3281695,-5.892491679,-167269.6677,0,0,760529.7014,2095288.483,2671819.791,43.79599572,2262558.151,47695.58255,-166260.4284,0.727882404,,,,,,,
Novo,Crypto,BTC,Options ,BTCUSD-2024AUG30-C-66000=GALAXY_HK,500,20854512,7183.710862,-269.2461493,-3.612608377,-134618.8546,0,0,2741859.651,461970.9906,3591855.431,61.58367496,596589.8451,42584.7297,-36484.80997,0.658682662,,,,,,,
Novo,Crypto,BTC,Options ,BTCUSD-2024AUG30-C-69000=GALAXY_HK,-500,-18119487,5777.23843,-227.8409671,-3.794137464,113916.1569,0,0,-2338623.541,-499888.4592,-2888619.215,53.50710795,-613804.6161,-44300.93575,38377.42309,0.666010297,,,,,,,
Novo,Crypto,BTC,Options ,BTCUSD-2024JUL26-C-72000=GALAXY_HK,460,6020132,462.3857654,-71.76258975,-13.43495474,-33004.28292,0,0,-665896.0395,1263380.439,212697.4521,19.32340844,1296384.722,8310.421404,-81800.78328,0.677291719,,,,,,,
Novo,Crypto,DOGE,,,37478153.25,5199088,0.138723173,-0.002675054,-1.891857899,-100256.0654,0,0,-800902.1476,-100256.0654,5199088.324,0,0,0,0,0,,,,,,,
Novo,Crypto,DOGE,Core,,37478153.25,5199088,0.138723173,-0.002675054,-1.891857899,-100256.0654,0,0,-800902.1476,-100256.0654,5199088.324,0,0,0,0,0,,,,,,,
Novo,Crypto,DOGE,Core,DOGE,37478153.25,5199088,0.138723173,-0.002675054,-1.891857899,-100256.0654,0,0,-800902.1476,-100256.0654,5199088.324,0,0,0,0,0,,,,,,,
Novo,Crypto,ETH,,,54054.99515,186625516,3452.511936,-35.93101557,-1.030001524,-1942250.873,0,0,116542305.9,-1942250.873,186625515.9,0,0,0,0,0,,,,,,,
Novo,Crypto,ETH,Core,,54054.99515,186625516,3452.511936,-35.93101557,-1.030001524,-1942250.873,0,0,116542305.9,-1942250.873,186625515.9,0,0,0,0,0,,,,,,,
Novo,Crypto,ETH,Core,ETH,54054.99515,186625516,3452.511936,-35.93101557,-1.030001524,-1942250.873,0,0,116542305.9,-1942250.873,186625515.9,0,0,0,0,0,,,,,,,
Novo,Crypto,FTX_SOL,,,1027652.278,101680832,98.9447836,-1.484695005,-1.478345826,-1525750.204,0,0,39333170.09,-1525750.204,101680832.3,0,0,0,0,0,,,,,,,
Novo,Crypto,FTX_SOL,Locked,,1027652.278,101680832,98.9447836,-1.484695005,-1.478345826,-1525750.204,0,0,39333170.09,-1525750.204,101680832.3,0,0,0,0,0,,,,,,,
Novo,Crypto,FTX_SOL,Locked,FTX_SOL,1027652.278,101680832,98.9447836,-1.484695005,-1.478345826,-1525750.204,0,0,39333170.09,-1525750.204,101680832.3,0,0,0,0,0,,,,,,,
Novo,Crypto,GDAM1,,,17105,55804984,3262.495387,-17.33764537,-0.528613658,-296560.424,0,0,34329859.64,-296560.424,55804983.59,0,0,0,0,0,,,,,,,
Novo,Crypto,GDAM1,AssetMgmt,,17105,55804984,3262.495387,-17.33764537,-0.528613658,-296560.424,0,0,34329859.64,-296560.424,55804983.59,0,0,0,0,0,,,,,,,
Novo,Crypto,GDAM1,AssetMgmt,GDAM1,17105,55804984,3262.495387,-17.33764537,-0.528613658,-296560.424,0,0,34329859.64,-296560.424,55804983.59,0,0,0,0,0,,,,,,,
Novo,Crypto,MKR,,,1842.256,5011754,2720.44377,-28.99832413,-1.054698485,-53422.33661,0,0,-19010.82601,-53422.33661,5011753.859,0,0,0,0,0,,,,,,,
Novo,Crypto,MKR,Core,,1842.256,5011754,2720.44377,-28.99832413,-1.054698485,-53422.33661,0,0,-19010.82601,-53422.33661,5011753.859,0,0,0,0,0,,,,,,,
Novo,Crypto,MKR,Core,MKR,1842.256,5011754,2720.44377,-28.99832413,-1.054698485,-53422.33661,0,0,-19010.82601,-53422.33661,5011753.859,0,0,0,0,0,,,,,,,
Novo,Crypto,SKL,,,-30279769.08,-1516180,0.050072362,-0.000787463,-1.548300994,23844.20325,0,0,579010.1376,23844.20325,-1516179.561,0,0,0,0,0,,,,,,,
Novo,Crypto,SKL,SpecialSits,,-30279769.08,-1516180,0.050072362,-0.000787463,-1.548300994,23844.20325,0,0,579010.1376,23844.20325,-1516179.561,0,0,0,0,0,,,,,,,
Novo,Crypto,SKL,SpecialSits,SKL,-30279769.08,-1516180,0.050072362,-0.000787463,-1.548300994,23844.20325,0,0,579010.1376,23844.20325,-1516179.561,0,0,0,0,0,,,,,,,
Novo,Crypto,SOL,,,-226557.278,-40757565,179.8996065,-2.699445463,-1.478345826,611579.0162,0,0,8263982.015,611579.0162,-40757565.17,0,0,0,0,0,,,,,,,
Novo,Crypto,SOL,Core,,-273601.2456,-49220756,179.8996065,-2.699445463,-1.478345826,738571.6413,0,0,6187479.793,738571.6413,-49220756.44,0,0,0,0,0,,,,,,,
Novo,Crypto,SOL,Core,SOL,-273601.2456,-49220756,179.8996065,-2.699445463,-1.478345826,738571.6413,0,0,6187479.793,738571.6413,-49220756.44,0,0,0,0,0,,,,,,,
Novo,Crypto,SOL,Locked,,47043.96765,8463191,179.8996065,-2.699445463,-1.478345826,-126992.6251,0,0,2076502.223,-126992.6251,8463191.271,0,0,0,0,0,,,,,,,
Novo,Crypto,SOL,Locked,SOL,47043.96765,8463191,179.8996065,-2.699445463,-1.478345826,-126992.6251,0,0,2076502.223,-126992.6251,8463191.271,0,0,0,0,0,,,,,,,
Novo,Crypto,VEE,,,78629940.7,1152923,0.01466264,-1.38E-05,-0.094232469,-1087.45208,0,0,925838.4587,-1087.45208,1152922.514,0,0,0,0,0,,,,,,,
Novo,Crypto,VEE,SpecialSits,,78629940.7,1152923,0.01466264,-1.38E-05,-0.094232469,-1087.45208,0,0,925838.4587,-1087.45208,1152922.514,0,0,0,0,0,,,,,,,
Novo,Crypto,VEE,SpecialSits,VEE,78629940.7,1152923,0.01466264,-1.38E-05,-0.094232469,-1087.45208,0,0,925838.4587,-1087.45208,1152922.514,0,0,0,0,0,,,,,,,
Other,,,,,,-26596390,,,,299252.1715,0,0,186169.8003,299252.1715,-27838826.26,,-0.599196248,2620.152571,-0.690403913,,,,,,,,
Other,Crypto,,,,,-28110260,,,,300251.0788,0,0,152107.8952,300251.0788,-28110259.95,,0,0,0,,,,,,,,
Other,Crypto,BTC,,,74861,740084,9.886109293,-6.68E-06,-6.75E-05,-0.499742173,0,0,58296.98779,-0.499742173,740084.0278,0,0,0,0,0,,,,,,,
Other,Crypto,BTC,E_CRYPTO_EQUITY ,,74861,740084,9.886109293,-6.68E-06,-6.75E-05,-0.499742173,0,0,58296.98779,-0.499742173,740084.0278,0,0,0,0,0,,,,,,,
Other,Crypto,BTC,E_CRYPTO_EQUITY ,FIP,74861,740084,9.886109293,-6.68E-06,-6.75E-05,-0.499742173,0,0,58296.98779,-0.499742173,740084.0278,0,0,0,0,0,,,,,,,
Other,Crypto,ETH,,,-8356.334319,-28850344,3452.511936,-35.93101557,-1.030001524,300251.5786,0,0,93810.90742,300251.5786,-28850343.98,0,0,0,0,0,,,,,,,
Other,Crypto,ETH,,,-8356.334319,-28850344,3452.511936,-35.93101557,-1.030001524,300251.5786,0,0,93810.90742,300251.5786,-28850343.98,0,0,0,0,0,,,,,,,
Other,Crypto,ETH,,ETH,-8356.334319,-28850344,3452.511936,-35.93101557,-1.030001524,300251.5786,0,0,93810.90742,300251.5786,-28850343.98,0,0,0,0,0,,,,,,,
Other,Equities,,,,,1513870,,,,-998.9072978,0,0,34061.90513,-998.9072978,271433.6855,,-0.599196248,2620.152571,-0.690403913,,,,,,,,
Other,Equities,FIP,,,700,313660,1.019141583,-100.8537475,-98.9995949,0.823761179,0,0,21311.84613,0.823761179,71339.91082,45.30689237,-0.629418739,1761.260938,-0.166548692,0.558749034,,,,,,,
Other,Equities,FIP,E_CRYPTO_OPTIONS ,,700,313660,1.019141583,-100.8537475,-98.9995949,0.823761179,0,0,21311.84613,0.823761179,71339.91082,45.30689237,-0.629418739,1761.260938,-0.166548692,0.558749034,,,,,,,
Other,Equities,FIP,E_CRYPTO_OPTIONS ,FIP/20Dec2024/C11.0,700,313660,1.019141583,-100.8537475,-98.9995949,0.823761179,0,0,21311.84613,0.823761179,71339.91082,45.30689237,-0.629418739,1761.260938,-0.166548692,0.558749034,,,,,,,
Other,Equities,MARA,,,0,273142,0.885017893,-87.58201813,-98.99960718,-0.025528442,0,0,-4919.852752,-0.025528442,44097.49494,27.15231547,0.003621548,277.9246511,-0.115327514,1.490463485,,,,,,,
Other,Equities,MARA,E_CRYPTO_OPTIONS ,,0,273142,0.885017893,-87.58201813,-98.99960718,-0.025528442,0,0,-4919.852752,-0.025528442,44097.49494,27.15231547,0.003621548,277.9246511,-0.115327514,1.490463485,,,,,,,
Other,Equities,MARA,E_CRYPTO_OPTIONS ,MARA/02Aug2024/C27.0,700,591780,1.2,-118.7528737,-98.99960713,-0.056698735,0,0,-20886.04509,-0.056698735,84000,35.29851894,-0.000310862,1030.596351,-0.220228394,1.439664713,,,,,,,
Other,Equities,MARA,E_CRYPTO_OPTIONS ,MARA/02Aug2024/C31.0,-700,-318637,0.570035787,-56.41116254,-98.99960723,0.031170293,0,0,15966.19234,0.031170293,-39902.50506,19.00611201,0.00393241,-752.6716995,0.104900881,1.541262258,,,,,,,
Other,Equities,RIOT,,,,927068,,,,-999.7055305,0,0,17669.91175,-999.7055305,155996.2797,,0.026600944,580.9669818,-0.408527708,,,,,,,,
Other,Equities,RIOT,E_CRYPTO_OPTIONS ,,,927068,,,,-999.7055305,0,0,17669.91175,-999.7055305,155996.2797,,0.026600944,580.9669818,-0.408527708,,,,,,,,
Other,Equities,RIOT,E_CRYPTO_OPTIONS ,RIOT/02Aug2024/C12.0,1000,712251,1.13,-112.82523,-99.0083825,-999.6835543,0,0,32089.54648,-999.6835543,113000,58.1904692,0.000532907,790.8432848,-0.296259626,1.246732935,,,,,,,
Other,Equities,RIOT,E_CRYPTO_OPTIONS ,RIOT/02Aug2024/C13.0,2000,1052582,0.72,-71.25172423,-98.99960713,-0.097197832,0,0,-13056.64873,-0.097197832,144000,42.99761797,0.000888178,1590.906079,-0.37753439,1.26190698,,,,,,,
Other,Equities,RIOT,E_CRYPTO_OPTIONS ,RIOT/02Aug2024/C14.0,-1000,-383332,0.49,-48.49075677,-98.99960713,0.033074262,0,0,-15379.7237,0.033074262,-49000,31.31796755,-0.000355271,-717.6351836,0.128466563,1.341642458,,,,,,,
Other,Equities,RIOT,E_CRYPTO_OPTIONS ,RIOT/02Aug2024/C15.5,-2000,-454433,0.260018601,-25.73163363,-98.99960726,0.04214737,0,0,14016.73769,0.04214737,-52003.72026,18.56344335,0.02553513,-1083.147198,0.136799745,1.402780539,,,,,,,
Placeholder,,,,,,-3894895,,,,-11593.2002,-2999857.373,-8.480640111,809967.8951,-3011442.093,-3894895.379,,0,0,0,,,,,,,,
Placeholder,Placeholder,,,,,-3894895,,,,-11593.2002,-2999857.373,-8.480640111,809967.8951,-3011442.093,-3894895.379,,0,0,0,,,,,,,,
Placeholder,Placeholder,ALT,,,1860766,274701,0.147628,-0.002919,-1.938929371,-4331.249195,274701.163,-4331.249195,-4331.249195,274701.163,274701.163,0,0,0,0,0,,,,,,,
Placeholder,Placeholder,ALT,Placeholder ,,1860766,274701,0.147628,-0.002919,-1.938929371,-4331.249195,274701.163,-4331.249195,-4331.249195,274701.163,274701.163,0,0,0,0,0,,,,,,,
Placeholder,Placeholder,ALT,Placeholder ,ALT,1860766,274701,0.147628,-0.002919,-1.938929371,-4331.249195,274701.163,-4331.249195,-4331.249195,274701.163,274701.163,0,0,0,0,0,,,,,,,
Placeholder,Placeholder,ARKM,,,-90876,-138132,1.52,-0.03,-1.935483871,1845.246268,-138131.52,1845.246268,1845.246268,-138131.52,-138131.52,0,0,0,0,0,,,,,,,
Placeholder,Placeholder,ARKM,Placeholder ,,-90876,-138132,1.52,-0.03,-1.935483871,1845.246268,-138131.52,1845.246268,1845.246268,-138131.52,-138131.52,0,0,0,0,0,,,,,,,
Placeholder,Placeholder,ARKM,Placeholder ,ARKM,-90876,-138132,1.52,-0.03,-1.935483871,1845.246268,-138131.52,1845.246268,1845.246268,-138131.52,-138131.52,0,0,0,0,0,,,,,,,
Placeholder,Placeholder,BTC,,,-22.21695892,-1504697,67727.40266,-400.1461421,-0.587348509,-8383.571103,-2998482.695,441.9941864,439052.8339,-3007308.261,-1504696.923,0,0,0,0,0,,,,,,,
Placeholder,Placeholder,BTC,Placeholder ,,-22.21695892,-1504697,67727.40266,-400.1461421,-0.587348509,-8383.571103,-2998482.695,441.9941864,439052.8339,-3007308.261,-1504696.923,0,0,0,0,0,,,,,,,
Placeholder,Placeholder,BTC,Placeholder ,BTC,-22.21695892,-1504697,67727.40266,-400.1461421,-0.587348509,-8383.571103,-2998482.695,441.9941864,439052.8339,-3007308.261,-1504696.923,0,0,0,0,0,,,,,,,
Placeholder,Placeholder,ETH,,,-902.965,-3117497,3452.511936,-35.93101557,-1.030001524,32444.44948,0,0,-564262.8549,32444.44948,-3117497.44,0,0,0,0,0,,,,,,,
Placeholder,Placeholder,ETH,Placeholder ,,-902.965,-3117497,3452.511936,-35.93101557,-1.030001524,32444.44948,0,0,-564262.8549,32444.44948,-3117497.44,0,0,0,0,0,,,,,,,
