,,,,, Delta ,Price,Price Change,Price Change (%),Period PnL,Traded Delta,Traded PnL,YTD PnL,Period Delta Change,Mkt Value,%Delta,$Gamma,$Vega,$Theta,ImpliedVol,,,,,
Pod(L2),Book(L3),Underlier,Desk Strategy,Ticker,,,,,,,,,,,,,,,,,,,,
Beimnet,Crypto,SUI,Core,SUI," $(1,583,574)",0.85232,0.005492,0.648537838,-10203.90259,0,0,-83574.64427,-10203.90259,-1583574.336,0,0,0,0,0,,,,,
Beimnet,Crypto,WLD,,," $(440,781)",2.47,-0.05,-1.984126984,8922.69205,0,0,-49242.83854,8922.69205,-440780.9873,0,0,0,0,0,,,,,
Beimnet,Crypto,WLD,Core,," $(440,781)",2.47,-0.05,-1.984126984,8922.69205,0,0,-49242.83854,8922.69205,-440780.9873,0,0,0,0,0,,,,,
Beimnet,Crypto,WLD,Core,WLD," $(440,781)",2.47,-0.05,-1.984126984,8922.69205,0,0,-49242.83854,8922.69205,-440780.9873,0,0,0,0,0,,,,,
Beimnet,Crypto,XAI,,," $(417,227)",0.373265,0.001637,0.440494258,-1829.799312,0,0,132772.3549,-1829.799312,-417226.6586,0,0,0,0,0,,,,,
Beimnet,Crypto,XAI,Core,," $(417,227)",0.373265,0.001637,0.440494258,-1829.799312,0,0,132772.3549,-1829.799312,-417226.6586,0,0,0,0,0,,,,,
Beimnet,Crypto,XAI,Core,XAI," $(417,227)",0.373265,0.001637,0.440494258,-1829.799312,0,0,132772.3549,-1829.799312,-417226.6586,0,0,0,0,0,,,,,
Beimnet,StratOps,,,," $(747,490)",3.66,0.14,3.977272727,-28592.50044,0,0,-2559320.437,-28592.50044,-747489.6544,0,0,0,0,0,,,,,
Beimnet,StratOps,AKT,,," $(747,490)",3.66,0.14,3.977272727,-28592.50044,0,0,-2559320.437,-28592.50044,-747489.6544,0,0,0,0,0,,,,,
Beimnet,StratOps,AKT,,," $(747,490)",3.66,0.14,3.977272727,-28592.50044,0,0,-2559320.437,-28592.50044,-747489.6544,0,0,0,0,0,,,,,
Beimnet,StratOps,AKT,,AKT," $(747,490)",3.66,0.14,3.977272727,-28592.50044,0,0,-2559320.437,-28592.50044,-747489.6544,0,0,0,0,0,,,,,
Bouchra,,,,," $36,749,003 ",,,,-89125.27621,0,0,2684743.005,121396.82,29590881.16,,210522.4041,284.6378129,-16678.69617,,,,,,
Bouchra,Crypto,,,," $36,094,921 ",,,,-89125.31255,0,0,2747211.459,121396.7837,29536278.16,,210522.4039,-1549.509791,-16678.69624,,,,,,
Bouchra,Crypto,ALT,,," $(288,296)",0.154934,-0.001703,-1.087227156,3168.884498,0,0,31629.74705,3168.884498,-288295.9194,0,0,0,0,0,,,,,
